Type,loc,class,amp_x,amp_y,amp_z,power_x,power_y,power_z,sma,iqr_x,iqr_y,iqr_z,var_x,var_y,var_z,ori_x,ori_y,ori_z
dynamic,外套右邊,run,27.61659696,43.62742187,42.42600117,1732.398098,13940.21059,5082.75692,14.96259038,2.512954235,13.91318476,5.13487117,13.63756508,55.15683924,31.98582488,2062.708763,5783,2229
dynamic,外套右邊,run,29.55885224,47.2784736,37.38832074,1745.382395,13205.50479,3793.882362,14.66177226,3.915849924,12.71459484,4.39937216,13.58996323,47.35624206,24.37023771,2846.036877,6204,2473
dynamic,外套右邊,run,31.37950332,48.7204125,38.81108465,1822.036756,13256.37264,4060.549878,14.85309563,3.50042963,12.18340099,4.712640464,13.82586095,44.75827373,25.6512192,2938.374123,6303,2264
dynamic,外套右邊,run,26.57829595,40.46860601,35.79876783,1736.551368,12816.3286,3941.769213,14.58654113,3.180351138,11.43428183,5.46856916,13.35872931,44.21144763,25.2833016,2784.977394,6161,2362
dynamic,外套右邊,run,29.07300281,45.00985073,43.79531079,1569.675362,13501.34131,4577.396149,14.66219791,3.541290402,11.43428171,5.822698593,12.35490083,51.58111641,24.79283954,3351.616768,5696,2735
dynamic,外套右邊,run,28.28713804,50.22927535,45.09018184,1511.388769,13545.59895,4465.73913,14.62612522,2.438042283,11.74073964,4.95099622,11.68405939,49.82817405,26.92569356,3810.128635,5953,2539
dynamic,外套右邊,run,27.99650204,50.38637222,38.31614516,1600.367701,12944.63685,3725.965779,13.91978255,2.342699885,12.7214047,4.276789308,12.24420586,48.19825458,23.18372021,3110.313583,6333,2466
dynamic,外套右邊,run,29.3167163,46.95724886,44.44940246,1638.520678,13011.18338,4026.175125,14.60548195,2.567435622,10.76007414,5.822698593,12.84962154,41.7654745,23.93592327,2861.289047,5388,2234
dynamic,外套右邊,run,25.51777255,46.9770013,39.03256376,1418.585252,11884.52008,4349.046209,14.27199621,3.663873553,12.16296979,6.313030958,11.12172244,50.23872406,25.24110424,3506.803997,6657,2309
dynamic,外套右邊,run,28.00482491,53.93235566,44.69048737,1727.073455,12425.42874,5289.613556,14.98493631,4.440233469,12.19702101,6.755692482,13.13811728,53.82857536,34.06303079,3254.248856,7676,2509
dynamic,外套右邊,run,33.85091284,54.46140726,43.29227918,2311.654787,12672.32614,4375.798888,14.99557719,4.351701021,13.73612124,5.591152787,17.5132065,53.05304898,25.90304523,3094.145538,6582,2764
dynamic,外套右邊,run,29.42153109,46.67773499,40.19040121,1728.563512,12331.0961,4016.338787,14.52535598,3.486809015,11.121014,4.406182246,13.51403172,44.48268216,23.14497481,2365.848839,5669,2404
dynamic,外套右邊,run,23.08905977,44.81067735,38.11497666,1271.060349,13712.2815,4495.576233,14.56323756,2.928374767,12.52390965,6.244929612,10.00732896,52.68587054,24.96242538,1736.366058,6506,2265
